ContextTokens,GeneratedTokens,start_timestamp_ms
918,397,162483
206,179,162664
4076,51,162756
1068,664,163029
1042,472,163560
417,92,163575
409,146,163757
1002,373,163776
942,104,164256
983,414,164472
4088,67,164579
1113,1000,164663
203,217,164739
435,83,164823
4086,37,164851
91,16,165013
1071,386,165103
167,217,165476
200,161,165477
181,92,165611
181,118,165791
4090,45,166238
1201,546,166288
1208,400,166291
373,57,166452
1005,407,166749
130,199,166838
1008,398,167067
91,16,167168
392,109,167446
394,94,167518
988,466,167696
1146,380,167736
4089,67,167793
1091,436,167833
379,87,168350
411,93,168483
4083,62,168771
396,65,169591
4088,107,169654
4073,29,169880
1060,396,169909
1046,429,169942
398,79,169957
3067,101,170220
381,99,170611
1117,428,170817
383,69,170902
403,106,170911
377,69,171152
403,101,171263
1145,396,171604
1209,403,171786
893,455,171930
1036,411,172573
203,217,172722
200,217,172996
299,18,172996
1142,436,173231
1318,234,173475
323,18,174185
1023,416,174338
1039,593,174458
1024,414,174681
206,165,175167
371,97,175205
373,66,175389
385,73,175439
203,167,175533
398,132,175882
1241,421,175975
1050,374,175999
4075,63,176123
401,86,176325
1436,386,176418
389,65,176606
386,49,176831
1069,426,176861
212,217,176894
991,373,176923
181,112,176999
4082,210,177335
395,142,177426
1007,451,178195
395,91,178220
324,18,178713
200,167,178746
397,103,178768
4074,67,178769
452,101,178832
391,93,178953
1061,429,179038
1007,379,179161
398,99,179356
913,398,179374
999,412,179496
385,84,179548
4096,45,179557
1161,408,179895
396,113,180322
4080,35,180624
200,188,180743
1116,401,180804
1046,531,180833
1015,397,180972
396,95,180989
1320,201,181071
1040,396,181075
416,153,181099
384,61,181235
1288,418,181642
203,162,181725
400,82,181743
209,217,181901
402,134,181926
906,146,181959
1312,204,182044
4076,92,182138
1042,373,182524
128,205,182584
1067,398,182925
1170,398,182998
1129,396,183362
4075,52,183776
401,144,183867
1032,401,183997
407,122,184098
1102,425,184147
1088,407,184327
385,107,184541
967,398,184585
395,83,184671
1160,392,184817
1019,413,184988
4082,31,185078
181,172,185550
91,24,185682
409,125,185761
383,58,185782
1363,363,185851
1034,550,185857
200,174,185865
4083,46,185921
4119,36,186335
998,373,186496
203,217,186621
1317,268,186890
1001,399,186933
167,168,187054
1093,429,187181
3053,69,187216
373,27,187277
4080,61,187308
209,194,187614
1314,161,187832
91,16,187860
2584,150,188098
1072,446,188103
370,69,188364
379,88,188370
1129,136,188394
372,90,188447
1297,368,188610
1012,420,188619
377,53,188620
1191,411,188810
4078,62,188887
393,101,189623
1208,413,189800
379,62,190150
4132,75,190509
394,70,190855
425,96,190893
313,18,191029
134,202,191058
181,418,191120
1027,405,191706
1035,431,191850
391,93,191957
395,118,192135
371,58,192841
1098,396,193183
1296,398,193274
124,159,193361
394,104,193520
1230,399,193602
2786,99,193861
380,74,194012
91,16,194195
1298,402,194871
4077,40,194891
1101,405,195057
998,518,195246
378,52,195398
1033,394,195407
4085,53,195443
4126,113,195488
395,90,195518
4075,58,195890
1120,415,196425
420,104,196521
1138,396,196782
406,89,197201
1314,152,197309
4089,68,197464
1057,445,197819
4095,50,198084
1074,403,198637
1133,432,198798
1110,451,198819
1005,111,198822
853,106,198823
1198,396,199095
372,61,199159
4084,66,199578
381,91,200015
1112,404,200179
956,75,200325
431,99,200337
957,414,200678
400,85,200773
2436,83,200872
4075,28,201152
394,93,201362
1216,456,202080
1398,44,202145
218,179,202380
4100,48,202438
391,93,202486
383,83,202607
22,147,202703
1247,398,203035
1318,139,203082
203,193,203220
1135,410,203402
1009,393,203523
1249,413,203547
391,94,203751
163,158,203776
404,71,203900
871,103,204114
4091,87,204319
978,401,204641
372,28,204939
372,67,205177
1165,411,205451
1262,373,205498
1216,421,205691
237,14,205741
91,24,205772
1196,385,205776
1116,411,205984
1102,427,206239
414,84,206433
392,74,206850
386,57,207100
1111,415,207601
997,393,207666
987,393,207677
203,167,208362
3744,67,208438
209,217,208639
908,90,208690
404,126,208956
1296,448,209128
396,87,209502
1035,411,209660
416,99,209742
167,205,209879
2584,174,210005
907,429,210017
429,108,210054
1361,98,210103
130,173,210137
203,217,210190
126,203,210268
1082,105,210286
397,54,210478
4093,35,210507
383,72,211157
416,144,211238
1072,411,211415
380,112,211443
1161,440,211596
197,217,211609
2426,130,211635
368,62,211777
1101,402,211804
405,142,211805
181,119,211854
910,60,211940
4145,40,212232
994,396,212575
1201,497,212649
4070,77,212896
4093,48,212948
4093,60,213271
400,95,213353
404,101,213404
4122,51,213521
1001,371,213623
1004,412,213659
1118,385,213753
391,98,213934
4084,36,213981
4091,42,214003
374,70,214039
395,132,214238
1318,151,214334
373,126,214732
167,217,214770
404,96,215419
399,91,215846
309,18,216027
914,100,216174
398,99,216545
923,416,216551
392,91,216769
206,171,217570
2406,33,217583
1231,416,217832
1181,415,217834
374,73,218074
396,120,218221
181,209,218301
4082,49,218662
4079,53,218778
1658,82,218982
165,158,218983
405,133,219231
4119,59,219468
1205,409,219735
1120,397,219884
367,49,220113
405,96,220318
4099,53,220679
442,78,220824
4074,28,220878
1009,399,221408
375,94,221676
1009,399,221958
1313,162,222034
1133,432,222092
385,77,222283
1296,405,222370
1199,440,222698
1321,180,222709
437,92,223339
440,84,223380
381,67,224395
420,103,224501
1060,449,224789
1199,373,225030
390,99,225052
4122,73,225189
4076,39,225269
203,217,225519
999,575,225606
4082,128,225697
1231,463,225840
1165,409,226198
987,393,226319
414,101,226355
396,102,226449
1865,122,226491
390,83,226494
1083,429,226496
373,69,226562
4085,37,227294
401,89,227413
203,183,227492
1233,377,227753
1133,429,228152
4122,64,228259
1199,396,228318
1226,95,228405
1031,397,228493
206,189,228763
980,516,228784
167,179,228794
405,128,228915
376,62,228925
1313,169,229016
1320,239,229020
1052,101,229102
1060,658,229449
1049,395,229512
408,104,229650
91,16,229798
1313,234,229953
206,186,230204
128,159,230231
4089,50,230668
1150,375,230682
1196,425,230691
406,102,230781
388,92,230786
980,396,230849
173,158,231007
407,91,231032
963,407,231077
1808,56,231108
379,59,231410
413,96,231497
1146,425,231601
1060,397,231914
191,217,231928
394,93,232142
1204,412,232239
197,217,232270
1207,386,232420
23,149,232512
396,95,232517
923,418,232574
396,96,232651
923,417,232651
1262,415,232672
1102,427,232697
371,85,232845
4075,39,233157
1186,371,233262
181,111,233396
1008,373,233398
1225,401,233407
1181,426,233532
1311,169,233639
2216,49,233900
200,179,234012
1060,397,235062
4074,74,235093
763,30,235422
1353,181,235787
1035,411,236446
4086,75,236810
394,110,236960
126,203,237269
1264,440,237281
91,16,237577
4089,84,237579
382,53,237659
395,88,237688
4089,79,237786
1004,396,238076
181,1000,238203
1031,397,238438
416,86,238548
171,198,238971
383,76,239313
4071,46,239377
1133,463,239426
419,93,239802
1083,397,239901
1146,394,240184
385,88,240429
1264,418,241050
402,103,241299
415,142,241611
386,66,241851
1312,134,242289
1009,399,242358
1196,373,242362
1007,395,242394
1024,393,242633
923,468,243132
1318,918,243264
4085,144,243437
432,95,244025
1010,429,244336
371,78,244653
403,91,244789
2636,82,244983
389,94,245180
1072,468,245411
391,116,245779
396,105,245863
4083,97,246574
209,179,246617
1136,401,246870
206,183,247465
203,162,247486
1025,414,247758
2516,75,247884
944,40,248021
1227,625,248129
1211,368,248402
1186,377,248453
408,129,248514
1139,373,248848
419,130,249034
1199,441,249076
30,164,249234
1008,373,249327
1150,387,249441
2584,135,249477
1009,399,249594
1231,526,249966
1027,414,250171
203,181,250265
388,103,250368
1231,394,250742
1029,438,250746
1009,385,250810
