name,num_gpu,gpu_spec,creation_time
openb-pod-0410,1,P100|V100M16|V100M32,10192477
openb-pod-0411,0,,10192642
openb-pod-0412,1,T4,10192889
openb-pod-0413,1,,10192899
openb-pod-0414,1,,10192901
openb-pod-0415,1,,10192962
openb-pod-0416,1,,10193027
openb-pod-0417,0,,10193066
openb-pod-0418,1,V100M32,10193568
openb-pod-0419,1,,10193962
openb-pod-0420,1,,10194497
openb-pod-0421,1,P100|V100M16|V100M32,10195056
openb-pod-0422,2,,10195438
openb-pod-0423,0,,10195440
openb-pod-0424,0,,10195608
openb-pod-0425,0,,10195689
openb-pod-0426,1,,10196373
openb-pod-0427,1,T4,10196386
openb-pod-0428,1,,10196392
openb-pod-0429,1,,10196397
openb-pod-0430,1,T4,10196546
openb-pod-0431,1,,10196555
openb-pod-0432,1,G3,10196738
openb-pod-0433,1,,10196789
openb-pod-0434,1,V100M16|V100M32,10196808
openb-pod-0435,1,G2,10197068
openb-pod-0436,1,T4,10197077
openb-pod-0437,0,,10197275
openb-pod-0438,0,,10197421
openb-pod-0439,1,,10197607
openb-pod-0440,1,P100,10198109
openb-pod-0441,1,,10198200
openb-pod-0442,1,,10198508
openb-pod-0443,1,,10198596
openb-pod-0444,1,,10198648
openb-pod-0445,1,,10198800
openb-pod-0446,1,P100,10198987
openb-pod-0447,1,G2,10199241
openb-pod-0448,1,,10199343
openb-pod-0449,1,A10|T4,10199889
openb-pod-0450,1,,10199909
openb-pod-0451,1,,10200098
openb-pod-0452,1,T4,10200592
openb-pod-0453,0,,10200734
openb-pod-0454,1,T4,10200798
openb-pod-0455,1,,10200882
openb-pod-0456,1,,10201063
openb-pod-0457,1,,10201360
openb-pod-0458,1,,10201724
openb-pod-0459,1,T4,10201799
openb-pod-0460,1,,10202555
openb-pod-0461,1,,10203067
openb-pod-0462,1,,10203558
openb-pod-0463,1,,10203567
openb-pod-0464,1,,10203650
openb-pod-0465,1,,10203864
openb-pod-0466,1,,10203963
openb-pod-0467,1,,10204220
openb-pod-0468,1,P100,10204481
openb-pod-0469,1,,10204608
openb-pod-0470,1,,10204958
openb-pod-0471,1,,10205784
openb-pod-0472,1,,10206323
openb-pod-0473,0,,10206679
openb-pod-0474,1,P100,10206725
openb-pod-0475,1,,10207027
openb-pod-0476,0,,10207375
openb-pod-0477,0,,10207773
openb-pod-0478,1,,10207852
openb-pod-0479,0,,10207854
openb-pod-0480,1,,10208156
openb-pod-0481,1,,10208723
openb-pod-0482,1,,10208936
openb-pod-0483,1,,10208961
openb-pod-0484,1,,10209324
openb-pod-0485,1,,10209700
openb-pod-0486,0,,10209742
openb-pod-0487,1,,10209881
openb-pod-0488,1,T4,10209881
openb-pod-0489,1,G2,10209987
openb-pod-0490,1,P100|V100M16|V100M32,10210514
